"N0","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17","M0P1","M0P2","Class"
0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,2,0.0815564781
0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,1,1,0,2,0.1780899938
0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,2,1,2,0.8224246495
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.4463494456
0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.6366782163
0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,1,0.9105608281
0,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0.6391957543
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.7075080117
1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,1,2,2,0.3465143665
0,1,0,1,0,0,1,0,0,1,2,0,0,1,1,0,1,1,1,1,-0.0114536862
0,1,1,0,1,1,0,0,1,1,0,0,0,2,2,0,1,1,2,1,0.9107775031
1,2,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,2,0.5238693739
0,1,0,0,0,1,1,0,2,1,0,0,0,0,2,0,0,1,2,1,0.4165764009
0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,2,1,0,0.6261111137
1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,2,1,0.9348861564
0,1,0,1,1,1,1,0,2,0,1,0,1,0,0,0,1,1,1,1,0.2623162099
0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,1,1,0.2501404961
1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,2,2,0.3811904672
0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.2665453862
1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0.7491112655
0,2,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0.7547160816
0,1,0,1,0,0,1,0,1,1,2,0,0,0,0,1,1,0,2,1,0.5776277997
0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,2,0,0.2856970505
